# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# description: 
# m=0.9947261624102998, tau=756.4592123507574[ms]
# quantiles | tau [ms]| m:
#  0.125 |  680.716 | 0.99414106
#  0.250 |  712.979 | 0.99440545
#  0.400 |  729.066 | 0.99452855
#  0.500 |  741.483 | 0.99461993
#  0.600 |  755.537 | 0.99471974
#  0.750 |  776.636 | 0.99486282
#  0.875 |  799.758 | 0.99501097
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 756.4592123507574
# 		A = 0.9774420518285808
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# description: 
# m=0.9955035863304222, tau=887.5963626798155[ms]
# quantiles | tau [ms]| m:
#  0.125 |  764.529 | 0.99478168
#  0.250 |  808.792 | 0.99506656
#  0.400 |  838.838 | 0.99524285
#  0.500 |  873.897 | 0.99543326
#  0.600 |  899.974 | 0.99556529
#  0.750 |  937.225 | 0.99574118
#  0.875 |  975.053 | 0.99590606
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 887.5963626798155
# 		A = 0.9780163283607306
# 		O = -0.03949606832707974
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# description: 
# m=0.9955701957515302, tau=900.972957732371[ms]
# quantiles | tau [ms]| m:
# none
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 900.972957732371
# 		A = 0.9655118987533148
# 		O = -0.04010437214270651
# 		tauosc = 41.606118701684174
# 		B = -0.3555458184092705
# 		gamma = 1.22448835233484
# 		nu = 0.005004532831813853
# 		taugs = 29.999999999999982
# 		C = 0.3577977358407852
# 
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
6.700000000000000000e+01	6.886299190400582138e-01	2.337460060139448514e-02
6.800000000000000000e+01	6.850727844585705606e-01	2.351961680343076996e-02
6.900000000000000000e+01	6.820540848136442680e-01	2.357418007215629149e-02
7.000000000000000000e+01	6.783687439978488554e-01	2.377650842944952631e-02
7.100000000000000000e+01	6.750462213466323913e-01	2.407795995005656067e-02
7.200000000000000000e+01	6.713424470793190046e-01	2.420739278821021009e-02
7.300000000000000000e+01	6.681414742329142564e-01	2.434920256233693778e-02
7.400000000000000000e+01	6.645604412854038134e-01	2.449688626744852757e-02
7.500000000000000000e+01	6.617964212021871795e-01	2.476080427413366800e-02
7.600000000000000000e+01	6.581559921694274395e-01	2.484430048338402697e-02
7.700000000000000000e+01	6.547568947212204504e-01	2.512325620678646301e-02
7.800000000000000000e+01	6.512940420010928655e-01	2.536671006976551693e-02
7.900000000000000000e+01	6.481207773859052335e-01	2.553062011937168307e-02
8.000000000000000000e+01	6.451271225170045476e-01	2.556182853312989611e-02
8.100000000000000000e+01	6.411341229931170060e-01	2.574300688531834871e-02
8.200000000000000000e+01	6.379746526497650505e-01	2.587287949129878778e-02
8.300000000000000000e+01	6.346215116376714427e-01	2.620266012831507299e-02
8.400000000000000000e+01	6.314229807098570291e-01	2.635718341560444947e-02
8.500000000000000000e+01	6.282352248946329043e-01	2.657986651842740577e-02
8.600000000000000000e+01	6.247490105242475833e-01	2.665191355677739779e-02
8.700000000000000000e+01	6.219786434870751002e-01	2.680239633971948435e-02
8.800000000000000000e+01	6.186608077620801005e-01	2.701294477488782805e-02
8.900000000000000000e+01	6.153856568132087812e-01	2.722491889147392319e-02
9.000000000000000000e+01	6.125472735906989374e-01	2.739946418454582838e-02
9.100000000000000000e+01	6.092173252844080844e-01	2.755082710588249717e-02
9.200000000000000000e+01	6.063764696971852830e-01	2.768729755612408389e-02
9.300000000000000000e+01	6.025807861056459158e-01	2.797919611049315761e-02
9.400000000000000000e+01	5.995378088693716911e-01	2.817518002553819761e-02
9.500000000000000000e+01	5.968775347488691763e-01	2.822220355926833082e-02
