# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9939982567851756
# tau = 664.4710257808437 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  602.136 | 0.99337895
#  0.250 |  626.838 | 0.99363908
#  0.400 |  643.385 | 0.99380217
#  0.500 |  664.471 | 0.99399826
#  0.600 |  675.622 | 0.99409702
#  0.750 |  700.343 | 0.99430479
#  0.875 |  715.879 | 0.99442804
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4710257808437
# 	A          = -0.9795290544401251
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9950601012390409
# tau = 807.7315429333491 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  706.659 | 0.99435536
#  0.250 |  736.715 | 0.99458520
#  0.400 |  780.877 | 0.99489065
#  0.500 |  800.606 | 0.99501625
#  0.600 |  835.571 | 0.99522430
#  0.750 |  874.985 | 0.99543892
#  0.875 |  914.042 | 0.99563339
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 807.7315429333491
# 	A          = 0.9786785770213223
# 	O          = -0.0475606677643396
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# m = 0.9951583106875811
# tau = 824.1563080432034 [ms]
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	tau [ms]      = 824.1563080432034
# 	A             = 0.9617192655113145
# 	O             = -0.048293576098677245
# 	tauosc [ms]   = 41.692527238921386
# 	B             = -0.4356397347932994
# 	gamma         = 1.2260718684913314
# 	nu [1/ms]     = 0.005001897113881467
# 	taugs [ms]    = 29.999999999999996
# 	C             = 0.43941120515120197
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
2.120000000000000000e+02	2.714419871142924601e-01	3.735099483670599463e-02
2.130000000000000000e+02	2.697893724415992844e-01	3.739482971255476962e-02
2.140000000000000000e+02	2.681339367451034406e-01	3.737467536191087930e-02
2.150000000000000000e+02	2.667132670624462465e-01	3.732858987551641167e-02
2.160000000000000000e+02	2.645100533969207413e-01	3.761840107461823790e-02
2.170000000000000000e+02	2.625977482552691589e-01	3.758235211131201459e-02
2.180000000000000000e+02	2.606441876554466686e-01	3.759592228084843862e-02
2.190000000000000000e+02	2.589009057249934687e-01	3.768865776779302401e-02
2.200000000000000000e+02	2.575853814324326474e-01	3.772503375253206254e-02
2.210000000000000000e+02	2.556041888684740804e-01	3.778202997272096797e-02
2.220000000000000000e+02	2.538203496928492786e-01	3.776473844652220024e-02
2.230000000000000000e+02	2.521547434793238729e-01	3.786114106348170000e-02
2.240000000000000000e+02	2.509488689684991058e-01	3.783948144771289573e-02
2.250000000000000000e+02	2.490135048451343480e-01	3.776536128887759275e-02
2.260000000000000000e+02	2.476144615205765065e-01	3.772474379674254502e-02
2.270000000000000000e+02	2.461941456396234962e-01	3.777735009158353363e-02
2.280000000000000000e+02	2.442951148890147584e-01	3.795452465446058632e-02
2.290000000000000000e+02	2.425151237471293297e-01	3.796128632188600083e-02
2.300000000000000000e+02	2.410687494436068445e-01	3.792244676087250937e-02
2.310000000000000000e+02	2.400766378933064382e-01	3.795292800795554977e-02
2.320000000000000000e+02	2.385273038114008592e-01	3.791903179482016689e-02
2.330000000000000000e+02	2.370183916901440480e-01	3.802259655468352706e-02
2.340000000000000000e+02	2.355147991166569865e-01	3.784384966924971005e-02
2.350000000000000000e+02	2.343314594994942990e-01	3.792032807618734430e-02
2.360000000000000000e+02	2.328900768235576124e-01	3.798201496901569552e-02
2.370000000000000000e+02	2.310815802970920818e-01	3.794422756808336905e-02
2.380000000000000000e+02	2.305412444132672878e-01	3.785150398497462432e-02
2.390000000000000000e+02	2.289359379843807218e-01	3.784469659755945042e-02
2.400000000000000000e+02	2.277956383704691223e-01	3.787165009344684724e-02
2.410000000000000000e+02	2.262313597134694709e-01	3.776563540778676148e-02
2.420000000000000000e+02	2.246796880418176767e-01	3.782703596903724819e-02
2.430000000000000000e+02	2.235460114389010988e-01	3.766603160285174334e-02
2.440000000000000000e+02	2.226548996690947413e-01	3.761007229641934180e-02
