# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
1.480000000000000000e+02	4.241863993564492508e-01	3.959098895851893146e-02	nan	nan
1.490000000000000000e+02	4.212663455991177974e-01	3.976119595841749038e-02	nan	nan
1.500000000000000000e+02	4.190999965362367519e-01	3.983603770887813450e-02	nan	nan
1.510000000000000000e+02	4.164896003202466224e-01	3.995434808323153342e-02	nan	nan
1.520000000000000000e+02	4.141350075733082892e-01	3.997489063228052558e-02	nan	nan
1.530000000000000000e+02	4.120645775711057057e-01	3.995754959812034685e-02	nan	nan
1.540000000000000000e+02	4.097249861027739692e-01	3.999721818568938159e-02	nan	nan
1.550000000000000000e+02	4.076536848762444265e-01	4.004392111667865600e-02	nan	nan
1.560000000000000000e+02	4.052760555441395351e-01	4.009976234090351782e-02	nan	nan
1.570000000000000000e+02	4.035106907732626813e-01	4.003546726344877488e-02	nan	nan
1.580000000000000000e+02	4.001857528644356954e-01	4.023400907004513749e-02	nan	nan
1.590000000000000000e+02	3.982576992921741388e-01	4.020012326270452907e-02	nan	nan
1.600000000000000000e+02	3.962829581554044300e-01	4.010754296208558084e-02	nan	nan
1.610000000000000000e+02	3.936889584411040754e-01	4.025001741441016495e-02	nan	nan
1.620000000000000000e+02	3.917659145884889726e-01	4.023266307149456905e-02	nan	nan
1.630000000000000000e+02	3.895105311815388882e-01	4.016830369330991191e-02	nan	nan
1.640000000000000000e+02	3.871450377465405213e-01	4.025519199056743630e-02	nan	nan
1.650000000000000000e+02	3.849819066499541309e-01	4.018492199096617562e-02	nan	nan
1.660000000000000000e+02	3.828066835304265170e-01	4.007167139969289305e-02	nan	nan
1.670000000000000000e+02	3.806830636403863988e-01	4.027096151590566636e-02	nan	nan
1.680000000000000000e+02	3.789555973589959770e-01	4.011432256694311138e-02	nan	nan
1.690000000000000000e+02	3.766363734809368147e-01	4.001096644415113451e-02	nan	nan
1.700000000000000000e+02	3.746948644350893143e-01	3.998198613385738065e-02	nan	nan
1.710000000000000000e+02	3.726258897781106194e-01	3.996889903372226327e-02	nan	nan
1.720000000000000000e+02	3.705709951496844456e-01	3.995486511878545977e-02	nan	nan
1.730000000000000000e+02	3.691147608027715021e-01	3.974078947781490428e-02	nan	nan
1.740000000000000000e+02	3.672235472600069994e-01	3.981298020526312376e-02	nan	nan
1.750000000000000000e+02	3.651850868467197975e-01	3.960142250274987369e-02	nan	nan
1.760000000000000000e+02	3.632294426665292897e-01	3.952985719645496498e-02	nan	nan
1.770000000000000000e+02	3.613474730607043606e-01	3.944904278109703094e-02	nan	nan
1.780000000000000000e+02	3.595667232901757493e-01	3.937705849379598277e-02	nan	nan
1.790000000000000000e+02	3.579764632788370871e-01	3.923578235143999893e-02	nan	nan
1.800000000000000000e+02	3.557989581826315195e-01	3.928052657245952733e-02	nan	nan
1.810000000000000000e+02	3.542378845525897546e-01	3.902625031272100725e-02	nan	nan
1.820000000000000000e+02	3.525923022191873590e-01	3.902621233538908913e-02	nan	nan
1.830000000000000000e+02	3.504960219679412181e-01	3.892133789657315629e-02	nan	nan
1.840000000000000000e+02	3.491900277370335592e-01	3.895697727091552987e-02	nan	nan
1.850000000000000000e+02	3.472605439009760486e-01	3.892108612405369844e-02	nan	nan
1.860000000000000000e+02	3.454699286688930893e-01	3.882204240183998595e-02	nan	nan
1.870000000000000000e+02	3.436329837550888278e-01	3.878384783501386684e-02	nan	nan
1.880000000000000000e+02	3.419729875787044238e-01	3.885004563781143533e-02	nan	nan
1.890000000000000000e+02	3.403776147660398377e-01	3.858326970269519707e-02	nan	nan
1.900000000000000000e+02	3.383655315696029731e-01	3.838015884447055354e-02	nan	nan
1.910000000000000000e+02	3.369564063963161882e-01	3.820652436854880124e-02	nan	nan
1.920000000000000000e+02	3.348315782260209983e-01	3.811692427475619344e-02	nan	nan
