# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exponential
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9939981929202228
# tau = 664.4639338505722 [ms]
# fitrange: 1 <= k <= 5000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4639338505722
# 	A          = 0.9795340892436178
# 
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exp+Offset
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9946738350015476
# tau = 749.0076236623656 [ms]
# fitrange: 1 <= k <= 3000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 749.0076236623656
# 	A          = -0.9808506442087468
# 	O          = -0.03010357084595713
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[1ms]	2_coefficients	3_stderrs	4_mydat_coefficients	5_mydat_stderrs
2.170000000000000000e+02	2.747622179950300336e-01	4.215369344430763138e-02	nan	nan
2.180000000000000000e+02	2.728849127507838590e-01	4.219169922456954963e-02	nan	nan
2.190000000000000000e+02	2.710036790314958033e-01	4.223572584591535339e-02	nan	nan
2.200000000000000000e+02	2.692126962216793151e-01	4.225810995483350596e-02	7.078016626473994100e-01	1.882414251370016778e-02
2.210000000000000000e+02	2.674775221973842432e-01	4.226544336932907403e-02	nan	nan
2.220000000000000000e+02	2.657678871202068804e-01	4.227161740818605185e-02	nan	nan
2.230000000000000000e+02	2.640563185186258766e-01	4.227184488162439441e-02	nan	nan
2.240000000000000000e+02	2.623921161813486669e-01	4.226728389187437568e-02	7.035711037998199080e-01	1.901222222658473932e-02
2.250000000000000000e+02	2.607554000978575814e-01	4.225838458775795642e-02	nan	nan
2.260000000000000000e+02	2.591184683803250399e-01	4.225753120732334001e-02	nan	nan
2.270000000000000000e+02	2.574761276115810071e-01	4.226215790613972734e-02	nan	nan
2.280000000000000000e+02	2.558516269795428899e-01	4.227737207362522454e-02	6.995839196797908333e-01	1.911498944233681538e-02
2.290000000000000000e+02	2.542754735392744325e-01	4.229198026123787146e-02	nan	nan
2.300000000000000000e+02	2.527172204222302154e-01	4.230337848766063669e-02	nan	nan
2.310000000000000000e+02	2.511988690442311101e-01	4.230116072749204315e-02	nan	nan
2.320000000000000000e+02	2.497061627812695028e-01	4.229013540913578728e-02	6.958512161424996734e-01	1.929922234037282844e-02
2.330000000000000000e+02	2.482596233966056776e-01	4.228558564130215774e-02	nan	nan
2.340000000000000000e+02	2.468373562727475823e-01	4.227610622428733256e-02	nan	nan
2.350000000000000000e+02	2.454526647781466731e-01	4.226629198265194343e-02	nan	nan
2.360000000000000000e+02	2.440445027030953007e-01	4.226175587241991216e-02	6.916545821525654780e-01	1.950908127424907587e-02
2.370000000000000000e+02	2.427242740553949008e-01	4.224995115598489254e-02	nan	nan
2.380000000000000000e+02	2.414176506148874579e-01	4.222902538421980517e-02	nan	nan
2.390000000000000000e+02	2.401291851784171372e-01	4.220248903219412512e-02	nan	nan
2.400000000000000000e+02	2.388735459005101591e-01	4.216743219884142024e-02	6.875138122565902510e-01	1.977183598594778324e-02
2.410000000000000000e+02	2.376050647108430280e-01	4.212025505858950358e-02	nan	nan
2.420000000000000000e+02	2.363479177510906248e-01	4.207063284437854295e-02	nan	nan
2.430000000000000000e+02	2.350887041296436109e-01	4.202778304739252652e-02	nan	nan
2.440000000000000000e+02	2.337816883308985738e-01	4.199019082990132490e-02	6.837535835883621349e-01	1.990347904538803531e-02
2.450000000000000000e+02	2.324844576646658556e-01	4.193558034514854177e-02	nan	nan
2.460000000000000000e+02	2.311791755688597516e-01	4.188027439254844719e-02	nan	nan
2.470000000000000000e+02	2.298665038476077616e-01	4.181443695726230758e-02	nan	nan
2.480000000000000000e+02	2.285509944597169940e-01	4.174765417446492377e-02	6.800866562950033112e-01	2.023651261506389035e-02
2.490000000000000000e+02	2.272965982297638909e-01	4.166410373555911456e-02	nan	nan
2.500000000000000000e+02	2.260553977546972404e-01	4.157981305095184016e-02	nan	nan
2.510000000000000000e+02	2.248170600910957551e-01	4.149315585777975379e-02	nan	nan
2.520000000000000000e+02	2.235964937392601326e-01	4.140684074430057288e-02	6.762809341542068697e-01	2.040012203635052646e-02
2.530000000000000000e+02	2.223978603261544951e-01	4.130799509669699776e-02	nan	nan
2.540000000000000000e+02	2.212503018636320928e-01	4.120394488997345533e-02	nan	nan
2.550000000000000000e+02	2.201107407530829563e-01	4.111359851492990547e-02	nan	nan
2.560000000000000000e+02	2.189646513208590162e-01	4.102110536569530952e-02	6.731179085827387887e-01	2.055018131293161535e-02
2.570000000000000000e+02	2.177906275440262274e-01	4.092202922550375321e-02	nan	nan
2.580000000000000000e+02	2.166106577238495756e-01	4.082067690520189973e-02	nan	nan
2.590000000000000000e+02	2.154335116468756028e-01	4.070940825086977188e-02	nan	nan
2.600000000000000000e+02	2.142132329586540762e-01	4.060676395424806656e-02	6.693854231086521223e-01	2.075502046413813320e-02
2.610000000000000000e+02	2.129975526753559723e-01	4.050801244652308536e-02	nan	nan
2.620000000000000000e+02	2.118046478986050918e-01	4.041127554249345638e-02	nan	nan
2.630000000000000000e+02	2.106053145858635678e-01	4.031788249965601034e-02	nan	nan
2.640000000000000000e+02	2.094111104442678839e-01	4.022287145655000645e-02	6.653888866684545267e-01	2.093110512652502503e-02
